================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
571	460	60	560	568	570	502	8	510	1
569	904	5	560	565	565	555	5	560	4
569	458	58	560	568	568	502	8	510	1
560	456	56	551	559	559	495	8	503	1
560	454	54	551	559	559	497	8	505	1
560	452	52	551	559	559	499	8	507	1
560	450	50	551	559	559	501	8	509	1
551	448	48	542	550	550	494	8	502	1
551	446	46	542	550	550	496	8	504	1
551	444	44	542	550	550	498	8	506	1
551	442	42	542	550	550	500	8	508	1
542	440	40	533	541	541	493	8	501	1
542	438	38	533	541	541	495	8	503	1
542	436	36	533	541	541	497	8	505	1
542	434	34	533	541	541	499	8	507	1
535	432	32	524	532	534	494	8	502	1
533	430	30	524	532	532	494	8	502	1
533	428	28	524	532	532	496	8	504	1
533	426	26	524	532	532	498	8	506	1
526	424	24	515	523	525	493	8	501	1
526	422	22	515	523	525	495	8	503	1
524	420	20	515	523	523	495	8	503	1
524	418	18	515	523	523	497	8	505	1
519	660	60	421	430	457	388	9	397	30
519	658	58	418	425	449	384	7	391	30
519	656	56	413	420	444	381	7	388	30
519	654	54	410	417	435	374	7	381	30
519	652	52	405	412	430	371	7	378	30
519	559	59	497	505	505	438	8	446	14
515	416	16	506	514	514	490	8	498	1
515	414	14	506	514	514	492	8	500	1
515	412	12	506	514	514	494	8	502	1
515	410	10	506	514	514	496	8	504	1
510	557	57	488	496	496	431	8	439	14
510	555	55	488	496	496	433	8	441	14
510	553	53	488	496	496	435	8	443	14
510	551	51	488	496	496	437	8	445	14
506	408	8	497	505	505	489	8	497	1
506	406	6	497	505	505	491	8	499	1
506	404	4	497	505	505	493	8	501	1
504	549	49	479	487	490	433	8	441	14
504	547	47	479	487	490	435	8	443	14
501	545	45	479	487	487	434	8	442	14
501	543	43	479	487	487	436	8	444	14
492	541	41	470	478	478	429	8	437	14
492	539	39	470	478	478	431	8	439	14
492	537	37	470	478	478	433	8	441	14
492	535	35	470	478	478	435	8	443	14
490	533	33	461	469	471	430	8	438	14
