================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
6910	149	50	50	51	6802	6751	1	6752	108
6755	143	48	48	49	6596	6547	1	6548	159
6755	146	49	49	50	6622	6572	1	6573	133
6755	148	50	50	51	6652	6601	1	6602	103
6702	142	48	48	49	6582	6533	1	6534	120
6702	145	49	49	50	6602	6552	1	6553	100
6517	137	46	46	47	6371	6324	1	6325	146
6517	140	47	47	48	6412	6364	1	6365	105
6482	134	45	45	46	6357	6311	1	6312	125
6482	136	46	46	47	6368	6321	1	6322	114
6482	139	47	47	48	6382	6334	1	6335	100
6443	133	45	45	46	6343	6297	1	6298	100
6245	131	44	44	45	6137	6092	1	6093	108
6240	125	42	42	43	6087	6044	1	6045	153
6240	128	43	43	44	6112	6068	1	6069	128
6240	130	44	44	45	6137	6092	1	6093	103
6196	124	42	42	43	6077	6034	1	6035	119
6196	127	43	43	44	6096	6052	1	6053	100
5983	119	40	40	41	5867	5826	1	5827	116
5983	122	41	41	42	5878	5836	1	5837	105
5977	116	39	39	40	5856	5816	1	5817	121
5977	118	40	40	41	5867	5826	1	5827	110
5977	121	41	41	42	5877	5835	1	5836	100
5945	115	39	39	40	5845	5805	1	5806	100
5769	113	38	38	39	5661	5622	1	5623	108
5742	107	36	36	37	5617	5580	1	5581	125
5742	110	37	37	38	5629	5591	1	5592	113
5742	112	38	38	39	5639	5600	1	5601	103
5722	106	36	36	37	5614	5577	1	5578	108
5722	109	37	37	38	5622	5584	1	5585	100
5524	101	34	34	35	5411	5376	1	5377	113
5524	104	35	35	36	5419	5383	1	5384	105
5514	98	33	33	34	5400	5366	1	5367	114
5514	100	34	34	35	5411	5376	1	5377	103
5514	103	35	35	36	5414	5378	1	5379	100
5491	97	33	33	34	5391	5357	1	5358	100
5293	95	32	32	33	5185	5152	1	5153	108
5288	89	30	30	31	5158	5127	1	5128	130
5288	92	31	31	32	5176	5144	1	5145	112
5288	94	32	32	33	5185	5152	1	5153	103
5271	88	30	30	31	5153	5122	1	5123	118
5271	91	31	31	32	5171	5139	1	5140	100
5061	83	28	28	29	4948	4919	1	4920	113
5061	86	29	29	30	4956	4926	1	4927	105
5053	80	27	27	28	4942	4914	1	4915	111
5053	82	28	28	29	4948	4919	1	4920	105
5053	85	29	29	30	4953	4923	1	4924	100
5025	79	27	27	28	4925	4897	1	4898	100
4827	77	26	26	27	4719	4692	1	4693	108
4804	71	24	24	25	4662	4637	1	4638	142
4804	74	25	25	26	4690	4664	1	4665	114
4804	76	26	26	27	4701	4674	1	4675	103
4790	70	24	24	25	4654	4629	1	4630	136
4790	73	25	25	26	4690	4664	1	4665	100
4604	68	23	23	24	4499	4475	1	4476	105
4530	67	23	23	24	4430	4406	1	4407	100
4408	65	22	22	23	4300	4277	1	4278	108
4397	59	20	20	21	4175	4154	1	4155	222
4397	62	21	21	22	4292	4270	1	4271	105
4396	64	22	22	23	4293	4270	1	4271	103
4327	61	21	21	22	4227	4205	1	4206	100
4124	53	18	18	19	3969	3950	1	3951	155
4124	56	19	19	20	4013	3993	1	3994	111
4124	50	17	17	18	3952	3934	1	3935	172
