================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
6572	149	50	50	51	6464	6413	1	6414	108
6559	146	49	49	50	6454	6404	1	6405	105
6557	148	50	50	51	6454	6403	1	6404	103
6553	145	49	49	50	6453	6403	1	6404	100
6392	143	48	48	49	6284	6235	1	6236	108
6358	142	48	48	49	6255	6206	1	6207	103
6218	137	46	46	47	6033	5986	1	5987	185
6218	140	47	47	48	6113	6065	1	6066	105
6155	134	45	45	46	6019	5973	1	5974	136
6155	136	46	46	47	6033	5986	1	5987	122
6155	139	47	47	48	6055	6007	1	6008	100
6116	133	45	45	46	6016	5970	1	5971	100
5919	131	44	44	45	5811	5766	1	5767	108
5913	125	42	42	43	5766	5723	1	5724	147
5913	128	43	43	44	5807	5763	1	5764	106
5913	130	44	44	45	5810	5765	1	5766	103
5881	124	42	42	43	5746	5703	1	5704	135
5881	127	43	43	44	5781	5737	1	5738	100
5676	119	40	40	41	5542	5501	1	5502	134
5676	122	41	41	42	5571	5529	1	5530	105
5646	116	39	39	40	5533	5493	1	5494	113
5646	118	40	40	41	5538	5497	1	5498	108
5646	121	41	41	42	5546	5504	1	5505	100
5615	115	39	39	40	5515	5475	1	5476	100
5418	113	38	38	39	5310	5271	1	5272	108
5412	107	36	36	37	5278	5241	1	5242	134
5412	110	37	37	38	5296	5258	1	5259	116
5412	112	38	38	39	5309	5270	1	5271	103
5388	106	36	36	37	5264	5227	1	5228	124
5388	109	37	37	38	5288	5250	1	5251	100
5183	101	34	34	35	5057	5022	1	5023	126
5183	104	35	35	36	5078	5042	1	5043	105
5164	98	33	33	34	5049	5015	1	5016	115
5164	100	34	34	35	5050	5015	1	5016	114
5164	103	35	35	36	5064	5028	1	5029	100
5137	97	33	33	34	5037	5003	1	5004	100
4939	95	32	32	33	4831	4798	1	4799	108
4934	89	30	30	31	4814	4783	1	4784	120
4934	92	31	31	32	4819	4787	1	4788	115
4934	94	32	32	33	4831	4798	1	4799	103
4914	88	30	30	31	4793	4762	1	4763	121
4914	91	31	31	32	4814	4782	1	4783	100
4703	83	28	28	29	4592	4563	1	4564	111
4703	86	29	29	30	4598	4568	1	4569	105
4693	80	27	27	28	4575	4547	1	4548	118
4693	82	28	28	29	4578	4549	1	4550	115
4693	85	29	29	30	4593	4563	1	4564	100
4670	79	27	27	28	4570	4542	1	4543	100
4483	77	26	26	27	4375	4348	1	4349	108
4467	71	24	24	25	4350	4325	1	4326	117
