================== ORDERS REPORT ==================
TF	ID	TQ	TA	TR	TS	Ti	Tc	Tw	Tserv
457	143	72	136	141	397	320	5	325	35
457	136	68	133	138	397	324	5	329	35
457	124	62	127	132	397	330	5	335	35
457	119	60	124	129	397	332	5	337	35
457	148	74	139	142	427	350	3	353	30
427	131	66	130	135	397	326	5	331	30
422	139	70	133	138	397	322	5	327	25
422	134	67	133	135	397	328	2	330	25
422	127	64	127	132	397	328	5	333	25
417	146	73	139	141	397	322	2	324	20
417	141	71	136	138	397	324	2	326	20
417	129	65	130	132	397	330	2	332	20
397	71	36	100	105	282	241	5	246	40
397	100	50	115	120	342	287	5	292	35
397	95	48	112	117	342	289	5	294	35
397	112	56	121	126	367	306	5	311	30
397	107	54	118	123	367	308	5	313	30
392	122	61	127	129	367	304	2	306	25
392	115	58	121	126	367	304	5	309	25
387	117	59	124	126	367	306	2	308	20
367	83	42	106	111	312	265	5	270	35
367	76	38	103	108	312	269	5	274	35
367	103	52	115	120	342	285	5	290	25
362	110	55	121	123	342	285	2	287	20
362	105	53	118	120	342	287	2	289	20
342	59	30	94	99	282	247	5	252	35
342	88	44	109	114	312	263	5	268	30
337	98	49	115	117	312	261	2	263	25
337	91	46	109	114	312	261	5	266	25
332	93	47	112	114	312	263	2	265	20
332	79	40	103	108	312	267	5	272	20
327	86	43	109	111	312	267	2	269	15
312	47	24	88	93	262	233	5	238	35
312	64	32	97	102	282	245	5	250	30
312	55	28	91	96	282	249	5	254	30
312	52	26	91	96	282	251	5	256	30
307	74	37	103	105	282	243	2	245	25
307	67	34	97	102	282	243	5	248	25
302	81	41	106	108	282	239	2	241	20
302	69	35	100	102	282	245	2	247	20
302	62	31	97	99	282	249	2	251	20
282	28	14	81	84	192	175	3	178	35
282	23	12	78	81	192	177	3	180	35
282	11	6	6	77	192	115	71	186	35
282	40	20	85	90	237	212	5	217	30
282	57	29	94	96	262	231	2	233	20
262	35	18	82	87	217	194	5	199	30
262	43	22	85	90	237	210	5	215	25
252	50	25	91	93	237	210	2	212	15
237	16	8	12	77	192	119	65	184	30
237	7	4	4	77	192	115	73	188	30
237	45	23	88	90	217	192	2	194	20
217	38	19	85	87	192	171	2	173	25
